整租·都会文澜 3室2厅 南,都会文澜,整租,3室2厅2卫 106.00㎡ 精装修,面积：106.00㎡,6000,义乌市
整租·望辰府沁园 3室2厅 南/北,望辰府沁园,整租,3室2厅2卫 115.00㎡ 精装修,面积：115.00㎡,6083,义乌市
整租·丹溪三区丹桂苑 1室1厅 东南/南,丹溪三区丹桂苑,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,2580,义乌市
整租·下朱B区 1室0厅 南,下朱B区,整租,1室0厅1卫 38.00㎡ 精装修,面积：38.00㎡,1980,义乌市
整租·望辰府沁园 3室2厅 南,望辰府沁园,整租,3室2厅2卫 99.00㎡ 精装修,面积：99.00㎡,5666,义乌市
整租·贝村小区 1室1厅 东南/南,贝村小区,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,2680,义乌市
整租·福田二区 1室1厅 南,福田二区,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,1999,义乌市
整租·青口东区 1室1厅 东南/南,青口东区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,2080,义乌市
整租·总部经济园 1室0厅 南,总部经济园,整租,1室0厅1卫 40.00㎡ 精装修,面积：40.00㎡,1900,义乌市
整租·阳光城檀境 3室2厅 南/西/北,阳光城檀境,整租,3室2厅2卫 99.00㎡ 精装修,面积：99.00㎡,5000,义乌市
整租·丹溪三区丹桂苑 1室1厅 南,丹溪三区丹桂苑,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,2480,义乌市
整租·河畔家园 1室1厅 东南/南,河畔家园,整租,1室1厅1卫 35.00㎡ 精装修,面积：35.00㎡,2000,义乌市
整租·留雅小区 1室1厅 东南/南,留雅小区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1500,义乌市
整租·滨江锦绣之城 3室2厅 南/北,滨江锦绣之城,整租,3室2厅2卫 135.00㎡ 精装修,面积：135.00㎡,7600,义乌市
整租·滨江金地·万家风华 3室2厅 西南,滨江金地·万家风华,整租,3室2厅2卫 129.40㎡ 精装修,面积：129.40㎡,7083,义乌市
整租·滨江金地·万家风华 3室2厅 南/北,滨江金地·万家风华,整租,3室2厅2卫 99.00㎡ 精装修,面积：99.00㎡,5200,义乌市
整租·滨江金地·万家风华 3室2厅 南,滨江金地·万家风华,整租,3室2厅2卫 99.27㎡ 精装修,面积：99.27㎡,5166,义乌市
整租·望辰府翠园一区 3室2厅 西南,望辰府翠园一区,整租,3室2厅2卫 117.00㎡ 精装修,面积：117.00㎡,6250,义乌市
整租·望辰府翠园一区 3室2厅 南,望辰府翠园一区,整租,3室2厅2卫 98.00㎡ 精装修,面积：98.00㎡,5416,义乌市
整租·滨江金地·万家风华 3室2厅 南/北,滨江金地·万家风华,整租,3室2厅2卫 113.00㎡ 精装修,面积：113.00㎡,6100,义乌市
整租·都会文澜 3室2厅 南,都会文澜,整租,3室2厅1卫 88.00㎡ 精装修,面积：88.00㎡,4580,义乌市
整租·滨江金地·万家风华 4室2厅 南,滨江金地·万家风华,整租,4室2厅2卫 116.00㎡ 精装修,面积：116.00㎡,6300,义乌市
整租·都会文澜 3室2厅 南,都会文澜,整租,3室2厅2卫 118.00㎡ 精装修,面积：118.00㎡,5500,义乌市
整租·望辰府沁园 3室2厅 南/北,望辰府沁园,整租,3室2厅2卫 115.00㎡ 精装修,面积：115.00㎡,5416,义乌市
整租·滨江金地·万家风华 2室1厅 南/北,滨江金地·万家风华,整租,2室1厅1卫 78.00㎡ 精装修,面积：78.00㎡,4333,义乌市
整租·银海三区 1室1厅 南,银海三区,整租,1室1厅1卫 42.00㎡ 精装修,面积：42.00㎡,1880,义乌市
整租·春盛小区 1室0厅 东南/南,春盛小区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1680,义乌市
整租·春盛小区 1室1厅 东南/南,春盛小区,整租,1室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,3180,义乌市
整租·下朱B区 1室0厅 南,下朱B区,整租,1室0厅1卫 32.00㎡ 精装修,面积：32.00㎡,1500,义乌市
整租·青口东区 1室1厅 东南/南,青口东区,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,1980,义乌市
整租·春晗四区 1室0厅 东南,春晗四区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1480,义乌市
整租·永顺路 1室0厅 南,永顺路,整租,1室0厅1卫 40.00㎡ 精装修,面积：40.00㎡,1880,义乌市
整租·兴中小区 1室1厅 南,兴中小区,整租,1室1厅1卫 42.00㎡ 精装修,面积：42.00㎡,2380,义乌市
整租·北下朱小区 1室0厅 东南/南,北下朱小区,整租,1室0厅1卫 32.00㎡ 精装修,面积：32.00㎡,1550,义乌市
整租·小三里塘一区 2室1厅 南,小三里塘一区,整租,2室1厅1卫 70.00㎡ 精装修,面积：70.00㎡,2800,义乌市
整租·滨江金地·万家风华 3室2厅 南/北,滨江金地·万家风华,整租,3室2厅2卫 99.00㎡ 精装修,面积：99.00㎡,5416,义乌市
整租·望辰府沁园 3室2厅 南/北,望辰府沁园,整租,3室2厅2卫 115.00㎡ 精装修,面积：115.00㎡,5666,义乌市
整租·建设三村 2室1厅 东南/南,建设三村,整租,2室1厅1卫 70.00㎡ 精装修,面积：70.00㎡,3280,义乌市
整租·长春八街 1室0厅 东南/南/北,长春八街,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1700,义乌市
整租·城中北路55号 1室1厅 东南/南,城中北路55号,整租,1室1厅1卫 45.00㎡ 精装修,面积：45.00㎡,1800,义乌市
整租·稠关一区 1室0厅 南,稠关一区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1200,义乌市
整租·阳光城檀境 2室2厅 南/北,阳光城檀境,整租,2室2厅2卫 76.00㎡ 精装修,面积：76.00㎡,3300,义乌市
整租·望辰府翠园一区 3室2厅 南/北,望辰府翠园一区,整租,3室2厅2卫 98.00㎡ 精装修,面积：98.00㎡,5000,义乌市
整租·望辰府沁园 3室2厅 南/北,望辰府沁园,整租,3室2厅2卫 115.00㎡ 精装修,面积：115.00㎡,5833,义乌市
整租·望辰府沁园 3室2厅 南/北,望辰府沁园,整租,3室2厅2卫 98.00㎡ 精装修,面积：98.00㎡,5833,义乌市
整租·望辰府翠园一区 3室2厅 南/北,望辰府翠园一区,整租,3室2厅2卫 98.00㎡ 精装修,面积：98.00㎡,4583,义乌市
整租·望辰府翠园一区 3室2厅 南/北,望辰府翠园一区,整租,3室2厅2卫 98.00㎡ 精装修,面积：98.00㎡,5416,义乌市
整租·滨江金地·万家风华 2室2厅 南/北,滨江金地·万家风华,整租,2室2厅1卫 79.00㎡ 精装修,面积：79.00㎡,4200,义乌市
整租·贝村小区 1室0厅 东南/南,贝村小区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1300,义乌市
整租·总部经济园 1室1厅 南,总部经济园,整租,1室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,3200,义乌市
整租·春晗三区 1室0厅 南,春晗三区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1400,义乌市
整租·凌云二区 1室1厅 南,凌云二区,整租,1室1厅1卫 42.00㎡ 精装修,面积：42.00㎡,1580,义乌市
整租·诚信一区 1室1厅 东南/南,诚信一区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,2000,义乌市
整租·都会文澜 3室2厅 南,都会文澜,整租,3室2厅2卫 98.00㎡ 精装修,面积：98.00㎡,5000,义乌市
整租·厚富小区南区 1室1厅 东南/南,厚富小区南区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1699,义乌市
整租·童店二区 1室0厅 东南/南,童店二区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1650,义乌市
整租·兴中小区 1室0厅 东南/南,兴中小区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1380,义乌市
整租·五爱新村A区 1室0厅 东南/南,五爱新村A区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1350,义乌市
整租·经发一区 1室0厅 东南/南,经发一区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1300,义乌市
整租·经发一区 1室0厅 东南/南,经发一区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1400,义乌市
整租·童店三区 1室0厅 东南/北,童店三区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1200,义乌市
整租·丹溪二区 1室0厅 东南/南,丹溪二区,整租,1室0厅1卫 32.00㎡ 精装修,面积：32.00㎡,1360,义乌市
整租·四季六区 1室0厅 东南/南,四季六区,整租,1室0厅1卫 40.00㎡ 精装修,面积：40.00㎡,1500,义乌市
整租·拥军一区 1室0厅 东南/南,拥军一区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1400,义乌市
整租·赵宅2街 2室1厅 东南/南,赵宅2街,整租,2室1厅1卫 80.00㎡ 精装修,面积：80.00㎡,4080,义乌市
整租·春晗二区 1室0厅 东南/南,春晗二区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1450,义乌市
整租·宾王商贸区 1室0厅 东南/南,宾王商贸区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,2180,义乌市
整租·小三里塘一区 1室0厅 南,小三里塘一区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1360,义乌市
整租·总部经济园 2室1厅 南,总部经济园,整租,2室1厅1卫 70.00㎡ 精装修,面积：70.00㎡,2800,义乌市
整租·宗塘二区 1室0厅 东南/南,宗塘二区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1200,义乌市
整租·银海一区 1室1厅 东南,银海一区,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,2200,义乌市
整租·春晗二区 2室1厅 东南,春晗二区,整租,2室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,2600,义乌市
整租·万达SOHO公寓 1室0厅 东南,万达SOHO公寓,整租,1室0厅1卫 48.00㎡ 精装修,面积：48.00㎡,2000,义乌市
整租·拥军三区 1室1厅 西南,拥军三区,整租,1室1厅1卫 48.00㎡ 精装修,面积：48.00㎡,2100,义乌市
整租·兴中小区 2室1厅 东南,兴中小区,整租,2室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,3300,义乌市
整租·楼下新村一区 1室1厅 东南/南,楼下新村一区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1800,义乌市
整租·杨三村 1室1厅 东南/南,杨三村,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,2580,义乌市
整租·黄杨梅一区 1室0厅 西南,黄杨梅一区,整租,1室0厅1卫 38.00㎡ 精装修,面积：38.00㎡,1500,义乌市
整租·厚富小区南区 1室1厅 东南/南,厚富小区南区,整租,1室1厅1卫 38.00㎡ 精装修,面积：38.00㎡,1650,义乌市
整租·黄杨梅一区 2室1厅 东南,黄杨梅一区,整租,2室1厅1卫 55.00㎡ 精装修,面积：55.00㎡,2400,义乌市
整租·杨村一区 1室0厅 南,杨村一区,整租,1室0厅1卫 32.00㎡ 精装修,面积：32.00㎡,1440,义乌市
整租·下门二区 1室0厅 南,下门二区,整租,1室0厅1卫 28.00㎡ 精装修,面积：28.00㎡,1500,义乌市
整租·春晗二区 1室0厅 南,春晗二区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1480,义乌市
整租·青口东区 1室0厅 东南/南,青口东区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1480,义乌市
整租·下王三区 1室0厅 东南/南,下王三区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1450,义乌市
整租·厚富小区南区 1室1厅 南,厚富小区南区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1500,义乌市
整租·现代城市花园四季五区 4室2厅 南/北,现代城市花园四季五区,整租,4室2厅2卫 201.00㎡ 精装修,面积：201.00㎡,5833,义乌市
整租·复兴后陈 1室0厅 东南/南,复兴后陈,整租,1室0厅1卫 33.00㎡ 精装修,面积：33.00㎡,1380,义乌市
整租·杜元小区 1室1厅 南,杜元小区,整租,1室1厅1卫 42.00㎡ 精装修,面积：42.00㎡,1630,义乌市
整租·杜元小区 1室1厅 东南/南,杜元小区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1680,义乌市
整租·江南四区 1室0厅 南/北,江南四区,整租,1室0厅1卫 40.00㎡ 精装修,面积：40.00㎡,1100,义乌市
整租·江南四区 1室0厅 东南/南,江南四区,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1050,义乌市
整租·江南四区 1室1厅 东南/南,江南四区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1500,义乌市
整租·梅湖新村 1室0厅 南,梅湖新村,整租,1室0厅1卫 40.00㎡ 精装修,面积：40.00㎡,1299,义乌市
整租·下朱B区 1室1厅 东南/南,下朱B区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1500,义乌市
整租·西站一区 1室1厅 东南/南,西站一区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1400,义乌市
整租·福田金茂府 4室2厅 南/北,福田金茂府,整租,4室2厅2卫 135.00㎡ 精装修,面积：135.00㎡,9000,义乌市
整租·沙洲豪庭 3室2厅 东南/南,沙洲豪庭,整租,3室2厅2卫 140.00㎡ 精装修,面积：140.00㎡,3500,义乌市
整租·童店三区 1室0厅 东南/南/北,童店三区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1500,义乌市
整租·荷叶塘开发区第五小区 2室1厅 东南/南,荷叶塘开发区第五小区,整租,2室1厅1卫 60.00㎡ 精装修,面积：60.00㎡,2600,义乌市
整租·荷叶塘开发区第五小区 1室0厅 东南/南,荷叶塘开发区第五小区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1350,义乌市
整租·赵宅2街 1室1厅 东南/南,赵宅2街,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,2180,义乌市
整租·杨村路293-297号 1室1厅 东南/南,杨村路293-297号,整租,1室1厅1卫 35.00㎡ 精装修,面积：35.00㎡,1899,义乌市
整租·长春三区 2室1厅 东南/南,长春三区,整租,2室1厅1卫 70.00㎡ 精装修,面积：70.00㎡,3100,义乌市
整租·滨江金地·万家风华 3室2厅 南/北,滨江金地·万家风华,整租,3室2厅2卫 99.00㎡ 精装修,面积：99.00㎡,4833,义乌市
整租·望辰府翠园一区 3室2厅 南/北,望辰府翠园一区,整租,3室2厅2卫 115.00㎡ 精装修,面积：115.00㎡,5416,义乌市
整租·诚信一区 1室1厅 东南/南,诚信一区,整租,1室1厅1卫 40.00㎡ 精装修,面积：40.00㎡,1900,义乌市
整租·兴中小区 1室0厅 东南/南,兴中小区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1500,义乌市
整租·兴中小区 1室1厅 东南/南,兴中小区,整租,1室1厅1卫 30.00㎡ 精装修,面积：30.00㎡,1800,义乌市
整租·东畈B区 1室1厅 南,东畈B区,整租,1室1厅1卫 42.00㎡ 精装修,面积：42.00㎡,1530,义乌市
整租·阳光城檀境 4室2厅 南/北,阳光城檀境,整租,4室2厅2卫 113.00㎡ 精装修,面积：113.00㎡,4600,义乌市
整租·龙回四区 1室0厅 东南/南,龙回四区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1260,义乌市
整租·新马路299号 2室1厅 东南/南,新马路299号,整租,2室1厅1卫 80.00㎡ 精装修,面积：80.00㎡,2800,义乌市
整租·厚富小区南区 1室0厅 南,厚富小区南区,整租,1室0厅1卫 38.00㎡ 精装修,面积：38.00㎡,1500,义乌市
整租·翰林府 3室2厅 南/北,翰林府,整租,3室2厅2卫 97.00㎡,面积：97.00㎡,3500,义乌市
整租·建设二村 1室0厅 东南,建设二村,整租,1室0厅1卫 30.00㎡ 精装修,面积：30.00㎡,1500,义乌市
整租·四季三区 1室0厅 南,四季三区,整租,1室0厅1卫 40.00㎡ 精装修,面积：40.00㎡,1440,义乌市
整租·稠山一区 1室0厅 南,稠山一区,整租,1室0厅1卫 40.00㎡ 精装修,面积：40.00㎡,1600,义乌市
整租·和聚园 3室2厅 南/北,和聚园,整租,3室2厅1卫 105.00㎡ 精装修,面积：105.00㎡,4200,义乌市
整租·沈村二区 1室1厅 南,沈村二区,整租,1室1厅1卫 42.00㎡ 精装修,面积：42.00㎡,1500,义乌市
整租·北苑商贸区西区 4室2厅 西南/东北,北苑商贸区西区,整租,4室2厅3卫 180.00㎡ 精装修,面积：180.00㎡,5000,义乌市
整租·厚富小区南区 1室1厅 东南/南,厚富小区南区,整租,1室1厅1卫 35.00㎡ 精装修,面积：35.00㎡,1550,义乌市
整租·复兴一区 1室1厅 西南,复兴一区,整租,1室1厅1卫 48.00㎡ 精装修,面积：48.00㎡,2000,义乌市
整租·西城路 1室0厅 东南/南,西城路,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1580,义乌市
整租·遗安二区 1室0厅 南,遗安二区,整租,1室0厅1卫 32.00㎡ 精装修,面积：32.00㎡,1480,义乌市
整租·北站一区 1室0厅 东南/南,北站一区,整租,1室0厅1卫 35.00㎡ 精装修,面积：35.00㎡,1400,义乌市
整租·龚大塘一区 1室1厅 南,龚大塘一区,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,1980,义乌市
整租·五爱新村C区 1室1厅 东南,五爱新村C区,整租,1室1厅1卫 50.00㎡ 精装修,面积：50.00㎡,1800,义乌市
